received_at	device_id	f_port	f_cnt	rssi	data_rate_index	consumed_airtime	frm_payload	converted_payload	Data
2025-07-01T10:59:20.461404992Z	wwt-ormstrup-buoy	1	92397	-118		0.087296s	XxD/////////////QVtHrkGIfZhDRkeXQVxJug==	5f10ffffffffffffffffffff415b47ae41887d9843464797415c49ba	('ID', '95', 'Status', '16', 'Dummy', 13.704999923706055, 'Dissolved Oxygen Concentration', 17.061325073242188, 'Dissolved Oxygen % Saturation', 198.27964782714844, 'External Voltage', 13.767999649047852)
2025-07-01T11:00:04.002255512Z	wwt-ormstrup-buoy	1	92398	-114		0.061696s	YTD//////////w==	6130ffffffffffffffff	('ID', '97', 'Status', '48', 'Wakeup', nan, 'Dissolved Oxygen Concentration', nan)
2025-07-01T11:13:27.637710026Z	wwt-ormstrup-buoy	1	92399	-115		0.097536s	YFBBWmp/AAAAowAgQVpqf0HoCB//////P2Gb1P//////////	6050415a6a7f000000a30020415a6a7f41e8081fffffffff3f619bd4ffffffffffffffff	('ID', '96', 'Status', '80', 'Dummy', 13.651000022888184, 'Turbidity', 29.003965377807617, 'Chlorophyll-a Concentration', nan, 'Chlorophyll-a Fluorescence Intensity', 0.8812839984893799, 'Blue Green AlgaePhycocyanin Concentration', nan, 'Blue Green AlgaePhycocyanin Fluorescence Intensity', nan)
2025-07-01T11:13:55.687743774Z	wwt-ormstrup-buoy	1	92400	-116		0.082176s	RHBBvbWNQaXtjUGXK+1BlcMdQZShzUGQbS0=	447041bdb58d41a5ed8d41972bed4195c31d4194a1cd41906d2d	('ID', '68', 'Status', '112', 'T0', 23.713647842407227, 'T1', 20.740991592407227, 'T2', 18.896448135375977, 'T3', 18.72027015686035, 'T4', 18.579004287719727, 'T5', 18.053308486938477)
2025-07-01T11:14:30.721802539Z	wwt-ormstrup-buoy	1	92401	-118		0.087296s	X5D/////////////QVrZF0GMtlFDTFbUQVsi0Q==	5f90ffffffffffffffffffff415ad917418cb651434c56d4415b22d1	('ID', '95', 'Status', '144', 'Dummy', 13.678000450134277, 'Dissolved Oxygen Concentration', 17.589021682739258, 'Dissolved Oxygen % Saturation', 204.33917236328125, 'External Voltage', 13.696000099182129)
2025-07-01T11:15:06.484808847Z	wwt-ormstrup-buoy	1	92402	-110		0.061696s	YbD//////////w==	61b0ffffffffffffffff	('ID', '97', 'Status', '176', 'Wakeup', nan, 'Dissolved Oxygen Concentration', nan)
2025-07-01T11:28:55.650687822Z	wwt-ormstrup-buoy	1	92404	-119		0.082176s	RPBBvoe9QaF2LUGXMP1BlfhdQZSRLUGQRY0=	44f041be87bd41a1762d419730fd4195f85d4194912d4190458d	('ID', '68', 'Status', '240', 'T0', 23.8162784576416, 'T1', 20.182703018188477, 'T2', 18.8989200592041, 'T3', 18.74627113342285, 'T4', 18.570886611938477, 'T5', 18.033960342407227)
2025-07-01T11:29:27.975081285Z	wwt-ormstrup-buoy	1	92405	-119		0.087296s	XxD/////////////QVtsi0GQGG5DUPEqQVr99A==	5f10ffffffffffffffffffff415b6c8b4190186e4350f12a415afdf4	('ID', '95', 'Status', '16', 'Dummy', 13.71399974822998, 'Dissolved Oxygen Concentration', 18.01192855834961, 'Dissolved Oxygen % Saturation', 208.94204711914062, 'External Voltage', 13.687000274658203)
2025-07-01T11:30:17.247101326Z	wwt-ormstrup-buoy	1	92406	-117		0.061696s	YTD//////////w==	6130ffffffffffffffff	('ID', '97', 'Status', '48', 'Wakeup', nan, 'Dissolved Oxygen Concentration', nan)
2025-07-01T11:43:26.322562659Z	wwt-ormstrup-buoy	1	92407	-113		0.097536s	YFBBWmp/AAAAowAgQVvbI0KIgpT///////////////8/H+yy	6050415a6a7f000000a30020415bdb2342888294ffffffffffffffffffffffff3f1fecb2	('ID', '96', 'Status', '80', 'Dummy', 13.741000175476074, 'Turbidity', 68.25503540039062, 'Chlorophyll-a Concentration', nan, 'Chlorophyll-a Fluorescence Intensity', nan, 'Blue Green AlgaePhycocyanin Concentration', nan, 'Blue Green AlgaePhycocyanin Fluorescence Intensity', 0.62470543384552)
2025-07-01T11:44:13.827525368Z	wwt-ormstrup-buoy	1	92408	-113		0.082176s	RHBBwACdQZ733UGXS01BlhQdQZScfUGQZa0=	447041c0009d419ef7dd41974b4d4196141d41949c7d419065ad	('ID', '68', 'Status', '112', 'T0', 24.00029945373535, 'T1', 19.87102699279785, 'T2', 18.911767959594727, 'T3', 18.75982093811035, 'T4', 18.5764102935791, 'T5', 18.049646377563477)
2025-07-01T11:44:59.399807821Z	wwt-ormstrup-buoy	1	92409	-115		0.087296s	X5D/////////////QV1wpEGeqYNDZwktQVtHrg==	5f90ffffffffffffffffffff415d70a4419ea9834367092d415b47ae	('ID', '95', 'Status', '144', 'Dummy', 13.84000015258789, 'Dissolved Oxygen Concentration', 19.8327693939209, 'Dissolved Oxygen % Saturation', 231.0358428955078, 'External Voltage', 13.704999923706055)
2025-07-01T11:45:36.876740485Z	wwt-ormstrup-buoy	1	92410	-119		0.061696s	YbD//////////w==	61b0ffffffffffffffff	('ID', '97', 'Status', '176', 'Wakeup', nan, 'Dissolved Oxygen Concentration', nan)
2025-07-01T11:58:18.870803112Z	wwt-ormstrup-buoy	1	92411	-115		0.097536s	YNBBWrQ5AAAAowAgQVpqf0KOxBj/////PqOm+f//////////	60d0415ab439000000a30020415a6a7f428ec418ffffffff3ea3a6f9ffffffffffffffff	('ID', '96', 'Status', '208', 'Dummy', 13.651000022888184, 'Turbidity', 71.38299560546875, 'Chlorophyll-a Concentration', nan, 'Chlorophyll-a Fluorescence Intensity', 0.31963327527046204, 'Blue Green AlgaePhycocyanin Concentration', nan, 'Blue Green AlgaePhycocyanin Fluorescence Intensity', nan)
